stname,totchange,avgchange,avgpchange
United States,-91223558596.01294,-1076.3829841773695,-0.05363008374981456
Alabama,-309558323.6443367,-313.14037550586,-0.02277156384955891
Alaska,-13542804.688685894,-63.38667633333898,-0.004361913383658653
Arizona,-829018180.6038532,-515.4363005081414,-0.031671830688761456
Arkansas,-324193877.3797045,-564.5501237039025,-0.03584538465219512
California,-22949439343.165344,-2192.347079312214,-0.08382351226120867
Colorado,-1193031467.6910858,-723.6124433045734,-0.03740657749178051
Connecticut,-2840361566.5112076,-2540.7354876528625,-0.08244405917926899
Delaware,-172232908.41023922,-633.0188277272773,-0.04222524183977538
Florida,-2715005992.392212,-523.5193069841698,-0.02138585940801614
Georgia,-1998587157.1964798,-876.4814826759721,-0.04829476971290901
Hawaii,-246818757.95181084,-597.2204978314039,-0.04194016317168709
Idaho,-256498506.83160877,-668.1060068899696,-0.049521010603580766
Illinois,-3836195496.072647,-1080.1160608335085,-0.05393103478020831
Indiana,-759815676.7274818,-458.00051773504856,-0.03560638631509734
Iowa,-518010011.4022255,-612.5901008475048,-0.048527583573178844
Kansas,-427710069.94041157,-585.4461645241026,-0.03991992732224162
Kentucky,-576896590.2304068,-595.9183328057061,-0.048871521451658746
Louisiana,-382190170.43096256,-396.5637264029465,-0.026480337662302126
Maine,-236449374.29237413,-643.9915946483125,-0.053892611528028656
Maryland,-2471573408.563301,-1321.9861348138293,-0.06919230693165877
Massachusetts,-3765299729.0348587,-1661.6572674514464,-0.06219636028308656
Michigan,-1567072055.7659683,-600.2721939075982,-0.03976450927149874
Minnesota,-1913777602.5141296,-1113.581343768843,-0.06617813628218645
Mississippi,-167714651.95147228,-309.63606999928015,-0.027877832467453324
Missouri,-989377422.7639999,-664.5220267520072,-0.046695039186866065
Montana,-160019693.94843745,-589.8135249116131,-0.044474412445310224
Nebraska,-355917760.95721865,-696.4676947293447,-0.05115160273394145
Nevada,-299083864.8844795,-392.6024032297646,-0.01992775403281062
New Hampshire,-221193941.64004803,-488.60380927125516,-0.027287420472525165
New Jersey,-5781386362.090042,-2090.2439693715205,-0.08301492858097691
New Mexico,-140301740.16457987,-308.13425303384065,-0.025080216327952026
New York,-15293667720.558868,-2706.9420616742027,-0.09239181341927306
North Carolina,-1628284167.2003937,-694.8021157708226,-0.044763983833052315
North Dakota,-47024364.05721903,-211.34708026438602,-0.014748135191311141
Ohio,-1841687588.2334633,-600.919422051873,-0.045161287694395154
Oklahoma,-347111752.64378357,-428.56042236580834,-0.029472127564088436
Oregon,-1149122328.1959114,-1022.98022599861,-0.06476663785431593
Pennsylvania,-2638839086.1325455,-728.97543708804,-0.04413266646714412
Rhode Island,-287231792.3227272,-893.9432680247046,-0.05781256077851339
South Carolina,-644317423.7278872,-573.1468094319043,-0.0408393711443174
South Dakota,-42111680.37899876,-179.56342141819368,-0.01291780744727462
Tennessee,-288625505.7179432,-190.24910733038814,-0.012345017476400424
Texas,-2577302304.188324,-396.20931384023424,-0.01849738100011308
Utah,-489560699.04049015,-690.2704924945683,-0.043880235427836145
Vermont,-131735410.56239796,-684.4858931386916,-0.05288876031610805
Virginia,-2398849317.550888,-1007.4042395586475,-0.05183695881928576
Washington,-714756574.9453354,-317.7446329225604,-0.01524394756742476
West Virginia,-133039361.73612785,-352.304770053006,-0.034468991504532996
Wisconsin,-1275686101.8677921,-753.5789637653397,-0.05539124818000319
Wyoming,-60960819.36083841,-391.7631789037114,-0.017918987538114727
