stname,base,reform,change,pchange
United States,1266706821903.9243,1175483263307.9114,-91223558596.01294,-0.07201631586612861
California,224693004036.417,201743564693.25165,-22949439343.165344,-0.10213686643953467
New York,139642988500.8283,124349320780.26944,-15293667720.558868,-0.10951976812260898
New Jersey,59076700823.419266,53295314461.32922,-5781386362.090042,-0.09786237690169348
Illinois,54364637120.209305,50528441624.13666,-3836195496.072647,-0.07056417000614162
Massachusetts,53501576025.86913,49736276296.834274,-3765299729.0348587,-0.07037736098118413
Connecticut,30510083282.59749,27669721716.08628,-2840361566.5112076,-0.09309583130935958
Florida,94910805690.50226,92195799698.11005,-2715005992.392212,-0.028605868137350592
Pennsylvania,44039071667.51695,41400232581.38441,-2638839086.1325455,-0.05992040672553375
Texas,97387587350.52542,94810285046.3371,-2577302304.188324,-0.0264643819023043
Maryland,28625454046.356323,26153880637.793022,-2471573408.563301,-0.08634180630151098
Virginia,36149376599.07604,33750527281.525154,-2398849317.550888,-0.06635935507701678
Georgia,25794649025.200256,23796061868.003777,-1998587157.1964798,-0.07748068815528161
Minnesota,22766213219.2817,20852435616.76757,-1913777602.5141296,-0.08406218390739079
Ohio,24604715681.06368,22763028092.830215,-1841687588.2334633,-0.07485100060111102
North Carolina,21548708608.766792,19920424441.5664,-1628284167.2003937,-0.07556295816900828
Michigan,26685144464.553165,25118072408.787197,-1567072055.7659683,-0.05872451085462799
Wisconsin,16065471281.121479,14789785179.253687,-1275686101.8677921,-0.0794054578010948
Colorado,25474177561.242012,24281146093.550926,-1193031467.6910858,-0.046832972912391004
Oregon,12646463122.48999,11497340794.294079,-1149122328.1959114,-0.09086511517614405
Missouri,13004452215.651352,12015074792.887352,-989377422.7639999,-0.0760798998956101
Arizona,17026957046.526651,16197938865.922798,-829018180.6038532,-0.0486885694454116
Indiana,12307195011.567095,11547379334.839613,-759815676.7274818,-0.06173751825768244
Washington,38603505403.26214,37888748828.3168,-714756574.9453354,-0.01851532827080869
South Carolina,8306602694.035244,7662285270.307357,-644317423.7278872,-0.07756690038763438
Kentucky,5469432786.583836,4892536196.353429,-576896590.2304068,-0.10547649321982651
Iowa,6913297344.095495,6395287332.69327,-518010011.4022255,-0.07492951418394396
Utah,7263251233.170398,6773690534.129908,-489560699.04049015,-0.06740241846581392
Kansas,7037838922.04587,6610128852.105458,-427710069.94041157,-0.06077292684273002
Louisiana,7510608455.892569,7128418285.461606,-382190170.43096256,-0.05088671213197236
Nebraska,4494031616.067149,4138113855.1099305,-355917760.95721865,-0.07919787650908698
Oklahoma,6389185192.424287,6042073439.780503,-347111752.64378357,-0.05432801557471789
Arkansas,4551309440.102848,4227115562.7231436,-324193877.3797045,-0.07123090214942153
Alabama,6295249153.343005,5985690829.6986685,-309558323.6443367,-0.04917332358163299
Nevada,10805371298.073507,10506287433.189028,-299083864.8844795,-0.02767918441986378
Tennessee,13435787321.571146,13147161815.853203,-288625505.7179432,-0.02148184537385131
Rhode Island,3634754946.2047415,3347523153.8820143,-287231792.3227272,-0.0790237021680492
Idaho,2793580792.492581,2537082285.660972,-256498506.83160877,-0.09181710710530308
Hawaii,4228700566.8985243,3981881808.9467134,-246818757.95181084,-0.05836751835395058
Maine,2609982482.213863,2373533107.921489,-236449374.29237413,-0.09059423804707337
New Hampshire,6569077212.782302,6347883271.142254,-221193941.64004803,-0.03367199600114951
Delaware,2894700013.864951,2722467105.454712,-172232908.41023922,-0.059499398067254974
Mississippi,1077465941.7588844,909751289.8074121,-167714651.95147228,-0.15565656922546467
Montana,2218274198.9989433,2058254505.0505059,-160019693.94843745,-0.07213702166335013
New Mexico,2625706979.9463673,2485405239.7817874,-140301740.16457987,-0.053433890847731105
West Virginia,1428353969.3443198,1295314607.608192,-133039361.73612785,-0.09314173138553257
Vermont,1706131685.4577336,1574396274.8953357,-131735410.56239796,-0.07721292071722764
Wyoming,2727460239.1002545,2666499419.739416,-60960819.36083841,-0.022350763720371744
North Dakota,2387027146.395776,2340002782.338557,-47024364.05721903,-0.019699970370350473
South Dakota,2171790961.7657614,2129679281.3867626,-42111680.37899876,-0.019390300963753947
Alaska,2305605490.931345,2292062686.242659,-13542804.688685894,-0.0058738603555351975
