stubnum,stub,avgval_base,avgval_reform,avgval_change,avgval_pchange
0,Overall average,20051.874853241505,19414.56135604736,-637.3134971941436,-0.031783237321128505
1,Under $1,2089.5112374280952,2089.5112374280952,0,0
2,$1 to < $25k,145.29794033385775,145.26819157162075,-0.02974876223700562,-2.047431792126614e-4
3,$25k < 50k,1398.7865242263476,1394.3165589679131,-4.469965258434513,-0.0031956021744681865
4,$50k < 75k,3726.1946761031754,3703.505757395264,-22.688918707911398,-0.006089032023318569
5,$75k < $100k,6935.0487144809385,6862.535430978944,-72.51328350199492,-0.010456059717443853
6,$100k < $200k,13861.84734606885,13523.609828886463,-338.237517182386,-0.0244006090052859
7,$200k < $500k,48333.487917492814,45718.58197330021,-2614.9059441926,-0.05410132926173978
8,$500k < $1m,162767.14408082602,152136.73119458594,-10630.412886240083,-0.06531055727660424
9,$1m+,976434.0410728413,960625.885087769,-15808.155985072255,-0.016189681350829696
