stubnum,stub,avgval_base,avgval_reform,avgval_change,avgval_pchange,avgdispinc_pchange
0,Overall average,20051.874853241505,19396.246054768824,-655.6287984726805,-0.03269663327101277,0.005976953248069637
1,Under $1,2089.5112374280952,2089.5112374280952,0,0,NA
2,$1 to < $25k,145.29794033385775,145.26819157162075,-0.02974876223700562,-2.047431792126614e-4,3.839023942425331e-6
3,$25k < 50k,1398.7865242263476,1394.3165589679131,-4.469965258434513,-0.0031956021744681865,1.3544317747795972e-4
4,$50k < 75k,3726.1946761031754,3703.505757395264,-22.688918707911398,-0.006089032023318569,4.261434386894001e-4
5,$75k < $100k,6935.0487144809385,6862.535430978944,-72.51328350199492,-0.010456059717443853,9.687235087257176e-4
6,$100k < $200k,13861.84734606885,13522.56718115026,-339.28016491858943,-0.024475826089284385,0.0027853757398578387
7,$200k < $500k,48333.487917492814,45715.97318239196,-2617.5147351008563,-0.05415530407342127,0.010610925509351722
8,$500k < $1m,162767.14408082602,151747.8549995255,-11019.289081300522,-0.0676997138674905,0.020413796412322733
9,$1m+,976434.0410728413,959023.4194789903,-17410.621593851014,-0.01783082201304798,0.007123308670870322
