stubnum,stub,avgval_base,avgval_reform,avgval_change,avgval_pchange,avgxpinc_pchange
0,Overall average,20070.50723990509,18994.124255727722,-1076.3829841773695,-0.05363008374981456,NA
1,Under $1,2088.307201968847,2088.307201968847,0,0,NA
2,$1 to < $25k,145.29499373749752,145.26524497526052,-0.02974876223700562,-2.047473314239051e-4,NA
3,$25k < 50k,1398.6636928476564,1394.1937275892221,-4.469965258434286,-0.0031958828139261337,NA
4,$50k < 75k,3728.2091587511673,3705.5057913726514,-22.70336737851585,-0.006089617403901439,NA
5,$75k < $100k,6953.454589529278,6880.812556887372,-72.64203264190564,-0.010446898258499052,NA
6,$100k < $200k,13872.280334105875,13530.491873652556,-341.7884604533192,-0.024638231943237963,NA
7,$200k < $500k,48320.56766712763,45697.067118057494,-2623.500549070137,-0.05429366159650683,NA
8,$500k < $1m,162767.14408082602,150617.5058125681,-12149.638268257928,-0.07464429223028406,NA
9,$1m+,976434.0410728413,905571.9702609304,-70862.0708119109,-0.072572306813527665,NA
